sourceTaxonId	sourceTaxonName	sourceTaxonPartaffected	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	StudySourceCitation	referenceCitation
EOL:597015	Brasenia schreberi		RO:0002471	eaten by	EOL:2684796	Paraponyx maculalis	GEONAMES:6254926	Massachusetts, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Forbes, W. T. M. 1910. The aquatic caterpillars of Lake Quinsigamond. Pysche 6:219-227.
EOL:597015	Brasenia schreberi		RO:0002471	eaten by	EOL:2684794	Paraponyx seminealis	GEONAMES:4597040	South Carolina, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Stoops, C. A., P. H. Adler and J. W. McCreadie. 1998. Ecology of aquatic Lepidoptera (Crambidae: Nymphulinae) in South Carolina, USA. Hydrobiologia 379:33-40.
EOL:597015	Brasenia schreberi	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:744970	Polypedilum braseniae	GEONAMES:5001836	Michigan, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	McGaha, Y. J. 1952. The limnological relations of insects to certain aquatic flowering plants. Trans. Am. Microsc. Soc. 71:355-381.
EOL:597015	Brasenia schreberi		RO:0002471	eaten by	EOL:261520	Synclita obliteralis	GEONAMES:4597040	South Carolina, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Herlong, D. D. 1979. Aquatic Pyralidae (Lepidoptera: Nymphulinae) in South Carolina. Fla. Entomol. 62(3):188-193.
EOL:526590	Typha latifolia	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by		Rhopalosiphum persicae							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Wilson, H. F. and R. A. Vickery. 1918. A species list of the Aphididae of the world and their recorded food plants. Wisc. Acad. Sci., Arts Lett. Trans. 19: 25-355.
EOL:59012	Utricularia	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:587977	Rhopalosiphum nymphaeae							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Center, T. D., F. A. Dray, G. P. Jubinsky and M. J. Grodowitz. 1999. Insects and other arthropods that feed on aquatic and wetland plants. U.S. Department of Agriculture, Agricultural Research Service, Technical Bulletin No. 1870.
EOL:577796	Utricularia inflata		RO:0002471	eaten by	EOL:2684800	Paraponyx allionealis	GEONAMES:4597040	South Carolina, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Habeck, D. H. 1974. Caterpillars of Paraponyx in relation to aquatic plants in Florida. Hyacinth Control J. 12:15-18.
EOL:39917466	Utricularia macrorhiza	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:586039	Triaenodes aba	GEONAMES:5001836	Michigan, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	McGaha, Y. J. 1952. The limnological relations of insects to certain aquatic flowering plants. Trans. Am. Microsc. Soc. 71:355-381.
EOL:39917466	Utricularia macrorhiza	petioles	RO:0002471	eaten by	EOL:586039	Triaenodes aba	GEONAMES:5001836	Michigan, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	McGaha, Y. J. 1952. The limnological relations of insects to certain aquatic flowering plants. Trans. Am. Microsc. Soc. 71:355-381.
EOL:39917466	Utricularia macrorhiza	stems	RO:0002471	eaten by	EOL:586039	Triaenodes aba	GEONAMES:5001836	Michigan, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	McGaha, Y. J. 1952. The limnological relations of insects to certain aquatic flowering plants. Trans. Am. Microsc. Soc. 71:355-381.
EOL:39917466	Utricularia macrorhiza	young buds	RO:0002471	eaten by	EOL:586039	Triaenodes aba	GEONAMES:5001836	Michigan, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	McGaha, Y. J. 1952. The limnological relations of insects to certain aquatic flowering plants. Trans. Am. Microsc. Soc. 71:355-381.
EOL:1089032	Vallisneria americana		RO:0002471	eaten by	EOL:720347	Hydrellia gladiator	GEONAMES:6327244	Illinois River, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Deonier, D. L. 1971. A systematic and ecological Study of nearctic Hydrellia (Diptera: Ephydridae). Smithson. Contrib. Zool. 68:1-147.
EOL:1089032	Vallisneria americana	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:2684797	Paraponyx obscuralis	GEONAMES:5001836	Michigan, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Hart, C. A. 1895. On the entomology of the Illionise River and adjacent waters. Bull. Ill. St. Lab. Nat. Hist. 4:149-273.
